"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Aug-2007","25543","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jul-2007","16739","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Jun-2007","29028","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-May-2007","24367","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Apr-2007","23417","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Mar-2007","25130","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","28-Feb-2007","22718","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jan-2007","19227","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Dec-2006","19142","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Nov-2006","22860","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Oct-2006","16729","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Sep-2006","20398","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Aug-2006","21832","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jul-2006","18687","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Jun-2006","24610","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-May-2006","22843","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Apr-2006","20453","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Mar-2006","23968","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","28-Feb-2006","19463","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jan-2006","18336","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Dec-2005","20576","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Nov-2005","18187","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Oct-2005","17321","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Sep-2005","20202","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Aug-2005","18933","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jul-2005","16546","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Jun-2005","22335","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-May-2005","19707","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Apr-2005","20102","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Mar-2005","19401","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","28-Feb-2005","14736","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jan-2005","13835","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Dec-2004","18433","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Nov-2004","12865","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Oct-2004","15127","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Sep-2004","15548","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Aug-2004","13717","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jul-2004","15512","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Jun-2004","15880","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-May-2004","14682","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Apr-2004","15149","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Mar-2004","13038","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","29-Feb-2004","10827","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jan-2004","14470","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Dec-2003","14238","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Nov-2003","9254","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Oct-2003","13028","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Sep-2003","12700","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Aug-2003","9759","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jul-2003","8357","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Jun-2003","11696","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-May-2003","10969","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Apr-2003","11556","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Mar-2003","10816","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","28-Feb-2003","7842","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jan-2003","9249","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Dec-2002","7268","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Nov-2002","7496","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Oct-2002","7313","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Sep-2002","7707","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Aug-2002","6974","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jul-2002","6308","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Jun-2002","10467","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-May-2002","7799","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Apr-2002","8393","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Mar-2002","6783","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","28-Feb-2002","5274","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jan-2002","6158","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Dec-2001","4555","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Nov-2001","5572","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Oct-2001","5655","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Sep-2001","5525","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Aug-2001","5889","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jul-2001","4811","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Jun-2001","7993","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-May-2001","7529","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","30-Apr-2001","7653","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Mar-2001","6006","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","28-Feb-2001","7090","Number","Normal",""
"Production and Sales of Auto Vehicles","TS_GP_RLS_PSAUTO_M.TAS_001000","Total Automobile Sales","31-Jan-2001","6883","Number","Normal",""
